No,Species,ITS1,Ref,ITS2,Ref,ITS,Ref,psbA-trnH,Ref,MatK,Ref,trnL-trnF,Ref,rbcL,Ref,ETS,Ref,rpl32,Ref,atpB-rbcL,Ref,TrnE-trnT,Ref,CHS-A,Ref,CHS-D,Ref,ndhF,Ref
1,acuminatus,,,,,AB498560,Kokubugata et al. 2011,KP095481,Liu et al. 2015,,,KM232640,Chen and Kang,KP094580,Liu et al. 2015,,,,,,,,,,,,,,
2,acuminatus,,,,,AB498561,Kokubugata et al. 2011,KP095482,Liu et al. 2015,,,,Lu unpublished (DA1),KP094581,Liu et al. 2015,,,,,,,,,,,,,,
3,acuminatus,AF349226,Denduangboripant et al. 2001,AF349307,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
4,albidus,AF349190,Denduangboripant et al. 2001,AF349271,Denduangboripant et al. 2001,,,,,,,,Lu unpublished (JA1),,,,,,,,,,,,,,,,
5,albidus,AF349191,Denduangboripant et al. 2001,AF349272,Denduangboripant et al. 2001,,,,,,,,Lu unpublished (CU1),,,,,,,,,,,,,,,,
6,andersonii,AF349231,Denduangboripant et al. 2001,AF349312,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
7,angustifolius,AF349194,Denduangboripant et al. 2001,AF349275,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
8,angustifolius,AF349195,Denduangboripant et al. 2001,AF349276,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
9,arctocalyx,AF349172,,AF349253,,,,,,,,,,,,,,,,,,,,,,,,,
10,arctocalyx,AF349173,,AF349254,,,,,,,,,,,,,,,,,,,,,,,,,
11,arfakensis,AF349216,Denduangboripant et al. 2001,AF349297,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
12,argentii,AF349180,Denduangboripant et al. 2001,AF349261,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
13,argentii,AF349181,Denduangboripant et al. 2001,AF349262,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
14,austroyunnanensis,AF349217,Denduangboripant et al. 2001,AF349298,Denduangboripant et al. 2001,,,,,KJ137885,Li et al. 2015,FJ501500,Möller et al. 2009,,,,,,,FJ501396,Möller et al. 2009,,,,,,,,
15,austroyunnanensis,AF349218,Denduangboripant et al. 2001,AF349299,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
16,austroyunnanensis,,,,,KJ475427,Tao and Kang,,,,,KM232641,Chen and Kang,,,,,,,,,,,,,,,,
17,batakiorum,AF349223,Denduangboripant et al. 2001,AF349304,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,FJ603614,Kotarski et al.,FJ603615,Kotarski et al.,,
18,bracteatus,AF349202,Denduangboripant et al. 2001,AF349283,Denduangboripant et al. 2001,,,,,,,FJ501501,Möller et al. 2009,,,,,,,,,,,,,,,,
19,bracteatus,AF349203,Denduangboripant et al. 2001,AF349284,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
20,burtii,AF349228,Denduangboripant et al. 2001,AF349309,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
21,burtii,AF349169,,AF349250,,,,,,,,,,,,,,,,,,,,,,,,,
22,buxifolius,AF349198,Denduangboripant et al. 2001,AF349279,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
23,buxifolius,AF349199,Denduangboripant et al. 2001,AF349280,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
24,buxifolius,,,,,KJ475429,Tao and Kang,,,,,KM232642,Chen and Kang,,,,,,,,,,,,,,,,
25,ceylanicus,AF349200,Denduangboripant et al. 2001,AF349281,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
26,ceylanicus,AF349201,Denduangboripant et al. 2001,AF349282,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
27,chiritoides,,,,,,,,,,,,Lu unpublished (CU1),,,,,,,,,,,,,,,,
28,chrysanthus,AF349174,,AF349255,,,,,,,,,,,,,,,,,,,,,,,,,
29,chrysanthus,AF349175,,AF349256,,,,,,,,,,,,,,,,,,,,,,,,,
30,curtisii,AF349153,Denduangboripant et al. 2001,AF349234,Denduangboripant et al. 2001,,,,,MH332630,Dean et al. 2018,,,,,,,,,,,,,,,,,,
31,ellipticus,AF349158,,AF349239,,,,,,,,,,,,,,,,,,,,,,,,,
32,fecundus,AF349192,Denduangboripant et al. 2001,AF349273,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
33,fecundus,AF349193,Denduangboripant et al. 2001,AF349274,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
34,fruticosus,AF349196,Denduangboripant et al. 2001,AF349277,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
35,fruticosus,AF349197,Denduangboripant et al. 2001,AF349278,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
36,fulgens,AF349212,Denduangboripant et al. 2001,AF349293,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
37,fulgens,AF349213,Denduangboripant et al. 2001,AF349294,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
38,garrettii,AF349224,Denduangboripant et al. 2001,AF349305,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
39,garrettii,AF349225,Denduangboripant et al. 2001,AF349306,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
40,gracilis,AF349206,Denduangboripant et al. 2001,AF349287,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
41,gracilis,AF349207,Denduangboripant et al. 2001,AF349288,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
